complaint,category,priority
in my room door cannot be locked in room kindly resolve this,Security,Medium
i am facing an issue where laundry room equipment is damaged on the second floor i need help with this,Laundry,Medium
please check this laundry area is dirty in block a this needs to be repaired,Laundry,Medium
i am facing an issue where window is broken in block c please fix it,Maintenance,Medium
i am facing an issue where wardrobe lock is damaged in block a please get this fixed soon,Furniture,Medium
there is a problem because wall paint is peeling on the second floor please get this fixed soon,Maintenance,Low
the problem is that door hinge is loose in block c can someone look into this,Maintenance,Medium
i noticed that door lock is not working in the hostel room please send someone to check,Security,High
there is a problem because food is too spicy on the third floor this needs to be repaired,Mess/Food,Low
the problem is that bathroom has water leakage in room please get this fixed soon,Plumbing,Medium
kindly fix this food is too spicy in block c kindly resolve this,Mess/Food,Low
i am facing an issue where fan is making a strange noise in block c can someone look into this,Electrical,Medium
in my room window glass is cracked in the hostel room kindly resolve this,Maintenance,Medium
i want to report that pest infestation in the room near my room,Pest Control,High
insects are present in the bathroom in block c kindly resolve this,Pest Control,Medium
in my room cutlery is not clean in the hostel room please get this fixed soon,Mess/Food,Medium
i noticed that wifi is unavailable in block b can someone look into this,Internet,Medium
my room has an issue dinner is served late near my room can someone look into this,Mess/Food,Medium
my room has an issue washing machine has a strange noise in block b please get this fixed soon,Laundry,Medium
there is a problem because bathroom floor is dirty near my room i need help with this,Cleaning,Medium
i noticed that room door does not lock properly in block b please send someone to check,Security,Medium
the problem is that water pressure is very low in room this needs to be repaired,Plumbing,Medium
my room has an issue toilet is not clean in room please fix it,Cleaning,Medium
my room has an issue room key is not working in room please get this fixed soon,Security,Medium
i want to report that wifi is unavailable in block a please fix it,Internet,Medium
in my room internet speed is very low in block b,Internet,Medium
kindly fix this water pressure is very low near my room please get this fixed soon,Plumbing,Medium
i am facing an issue where there are rats in the hostel on the second floor this needs to be repaired,Pest Control,High
there is a problem because room has mosquitoes in the hostel room,Pest Control,Medium
kindly fix this cockroach infestation needs treatment in room,Pest Control,Medium
i want to report that toilet is not clean in my room please get this fixed soon,Cleaning,Medium
please check this bathroom tap is broken on the third floor this needs to be repaired,Plumbing,Medium
i noticed that ceiling is leaking in my room,Maintenance,High
the problem is that drawer is stuck in the hostel room please fix it,Furniture,Medium
kindly fix this dust is everywhere in the room in the hostel room please send someone to check,Cleaning,Medium
my room has an issue bathroom tap is broken in room,Plumbing,Medium
kindly fix this ceiling is leaking in the hostel room please get this fixed soon,Maintenance,High
in my room door cannot be locked on the third floor,Security,Medium
i want to report that mosquitoes are too many in my room i need help with this,Pest Control,Medium
kindly fix this fan regulator is not working in block b please fix it,Electrical,Medium
please check this common area is not clean in the hostel room please get this fixed soon,Cleaning,Medium
tube light is flickering in the hostel room this needs to be repaired,Electrical,Low
garbage has not been collected kindly resolve this,Cleaning,Medium
there is a problem because insects are present in the bathroom on the second floor this needs to be repaired,Pest Control,Medium
kindly fix this device cannot connect to wifi in room please get this fixed soon,Internet,Medium
there is a problem because internet stops during online classes near my room,Internet,Medium
i am facing an issue where cockroach infestation needs treatment in room i need help with this,Pest Control,Medium
please check this wall paint is peeling in my room please send someone to check,Maintenance,Low
kindly fix this room cupboard is damaged near my room kindly resolve this,Furniture,Medium
i am facing an issue where breakfast is not available in the hostel room can someone look into this,Mess/Food,Medium
there is a problem because room key is not working in block c,Security,Medium
food portion is too small in room can someone look into this,Mess/Food,Medium
please check this wifi keeps disconnecting in block b this needs to be repaired,Internet,Medium
my room has an issue hostel security is inadequate in room i need help with this,Security,High
i noticed that switch is not working in block b can someone look into this,Electrical,Medium
i want to report that electrical switch is sparking in room please get this fixed soon,Electrical,Medium
the problem is that wall has water damage on the second floor kindly resolve this,Maintenance,Medium
kindly fix this ac is not cooling this needs to be repaired,Electrical,Medium
i noticed that wifi keeps disconnecting on the second floor,Internet,Medium
mess menu is not being followed in my room please get this fixed soon,Mess/Food,Medium
my room has an issue wifi password is not working kindly resolve this,Internet,Medium
i want to report that room light keeps flickering in block b i need help with this,Electrical,Medium
in my room room key is not working in room can someone look into this,Security,Medium
there is a problem because cannot connect to hostel wifi in block a please fix it,Internet,Medium
in my room ceiling is leaking in room please send someone to check,Maintenance,High
i noticed that window glass is cracked in the hostel room please send someone to check,Maintenance,Medium
the problem is that ceiling is leaking on the second floor can someone look into this,Maintenance,High
the problem is that mess area is dirty on the second floor can someone look into this,Mess/Food,Medium
the problem is that charging point is not working in the hostel room,Electrical,Medium
there is a problem because main gate is left open in room please fix it,Security,Medium
there is a problem because shower is not working near my room can someone look into this,Plumbing,Medium
there is a problem because room cupboard is damaged on the third floor this needs to be repaired,Furniture,Medium
my room has an issue door lock is not working i need help with this,Security,High
i noticed that washing machine is overloaded in room i need help with this,Laundry,Medium
i noticed that network is extremely slow near my room please get this fixed soon,Internet,Medium
i am facing an issue where wifi is unavailable in my room can someone look into this,Internet,Medium
i am facing an issue where ceiling is leaking in room please get this fixed soon,Maintenance,High
in my room power is not available in my room in my room,Electrical,High
kindly fix this unauthorized person entered the hostel in room please fix it,Security,High
room smells unpleasant in the hostel room,Cleaning,Medium
the problem is that ceiling has cracks in room please send someone to check,Maintenance,Medium
i want to report that ceiling fan stopped working please get this fixed soon,Electrical,Medium
i am facing an issue where cannot connect to hostel wifi in my room i need help with this,Internet,Medium
there is a problem because ac is not turning on in block c i need help with this,Electrical,Medium
i noticed that bathroom has a bad smell near my room,Cleaning,Medium
